ASNNumber;Номенклатура;Машина;Qty ASN;ДП/МП;Паллет №;Приоритет;Факт;Остаток;Часы;Статус;Приемка до;Месяц;Тип
MPS176167;MyDay (30pk)_Bespoke;26_008;3 470;МП;15;;3470;0;0,0;Закрыто;;-;Сфера
MPS176185;MiSight 1 day (90pk);26_008;2 931;МП;16,17,19;;2917;14;0,0;В приемке;30.06.2026;01.06.2026;Сфера
MPS176202;MiSight 1 day (90pk);26_008;1 544;МП;18,19;;1544;0;0,0;Закрыто;;-;Сфера
MPS176215;MiSight 1 day (90pk);26_008;583;МП;19;;583;0;0,0;Закрыто;;-;Сфера
MPS176299;MyDay (90pk);26_008;207;МП;21;;207;0;0,0;Закрыто;;-;Сфера
MPS176186;WB Stenfilcon A 54% 1 Day MD (30pk);26_008;203;МП;21;;203;0;0,0;Закрыто;;-;Сфера
MPS176279;MyDay (30pk)_Bespoke;26_008;1 819;МП;20;;1819;0;0,0;Закрыто;;-;Сфера
MPS176334;Diag Biofinity (3pk);26_008;4 225;МП;20;;4223;2;0,0;В приемке;;недостача;Сфера
MPS176378;Biofinity Energys (3pk);26_008;180;МП;21;;0;180;0,4;В приемке;30.06.2026;01.06.2026;Сфера
MPS176377;Diag Biofinity Energys (3pk);26_008;180;МП;21;;180;0;0,0;Закрыто;;-;Сфера
DPS052686;Biofinity multifocal (3 pk);26_008;2 393;ДП;3;;15;2 378;19,0;В приемке;30.06.2026;01.06.2026;Сложные
DPS052686;Clariti 1 Day toric (30pk);26_008;1 747;ДП;3;;771;976;7,8;В приемке;30.06.2026;01.06.2026;Сложные
DPS052686;iWear activ astigmatism (30 pk);26_008;910;ДП;3;;878;32;0,3;В приемке;30.06.2026;01.06.2026;Сложные
DPS052686;WB Fanfilcon A toric (6pk);26_008;335;ДП;3;;335;0;0,0;Закрыто;;-;Сложные
DPS052686;WB Somofilcon A 56% 1 day (30pk);26_008;165;ДП;3;;0;165;0,3;В приемке;30.06.2026;01.06.2026;Сфера
DPS052686;MyDay Toric (30pk);26_008;512;ДП;3;;0;512;4,1;В приемке;30.06.2026;01.06.2026;Сложные
DPS052720;iWear Activ (30pk);26_008;5;ДП;4;;0;5;0,0;В приемке;30.06.2026;01.06.2026;Сфера
DPS052720;Clariti 1 Day (30pk)_Bespoke;26_008;672;ДП;4;;671;1;0,0;В приемке;30.06.2026;01.06.2026;Сфера
DPS052709;Avaira Vitality toric (6pk);26_008;636;ДП;4;;636;0;0,0;Закрыто;;-;Сложные
DPS052709;Biofinity multifocal (3 pk);26_008;2 400;ДП;4;;2398;2;0,0;В приемке;30.06.2026;01.06.2026;Сложные
DPS052709;Clariti 1 Day toric (30pk);26_008;1 609;ДП;4;;0;1 609;12,9;В приемке;30.06.2026;01.06.2026;Сложные
